Artist,WikiLink,Genre
Juvelen,Juvelen,Dance Pop
Kesha,Kesha,Dance Pop
Mary Kiani,Mary_Kiani,Dance Pop
Natalia Kills,Natalia_Kills,Dance Pop
Kim Hyun-jung,Kim_Hyun-jung_(singer),Dance Pop
King África,King_África,Dance Pop
Kisses,Kisses_(band),Dance Pop
The KLF,The_KLF,Dance Pop
Solange Knowles,Solange_Knowles,Dance Pop
Lady Gaga,Lady_Gaga,Dance Pop
Laila,Laila_Bagge_Wahlgren,Dance Pop
George Lamond,George_Lamond,Dance Pop
Jessy Lanza,Jessy_Lanza,Dance Pop
LCD Soundsystem,LCD_Soundsystem,Dance Pop
Lisa Lisa and Cult Jam,Lisa_Lisa_and_Cult_Jam,Dance Pop
LMFAO,LMFAO,Dance Pop
Locomía,Locomía,Dance Pop
Jennifer Lopez,Jennifer_Lopez,Dance Pop
Louie Louie,Louie_Louie_(musician),Dance Pop
Luciana,Luciana_(singer),Dance Pop
M People,M_People,Dance Pop
Madonna,Madonna,Dance Pop
Maroon 5,Maroon_5,Dance Pop
Lisa Matassa,Lisa_Matassa,Dance Pop
Matt and Kim,Matt_and_Kim,Dance Pop
Mel and Kim,Mel_and_Kim,Dance Pop
Javiera Mena,Javiera_Mena,Dance Pop
M.I.A.,M.I.A._(rapper),Dance Pop
Miami Sound Machine,Miami_Sound_Machine,Dance Pop
George Michael,George_Michael,Dance Pop
MiChi,MiChi,Dance Pop
Mika,Mika_(singer),Dance Pop
Milli Vanilli,Milli_Vanilli,Dance Pop
Nicki Minaj,Nicki_Minaj,Dance Pop
Dannii Minogue,Dannii_Minogue,Dance Pop
Kylie Minogue,Kylie_Minogue,Dance Pop
Modern Talking,Modern_Talking,Dance Pop
Moloko,Moloko,Dance Pop
Momoiro Clover Z,Momoiro_Clover_Z,Dance Pop
Alanis Morissette,Alanis_Morissette,Dance Pop
m.o.v.e,Move_(Japanese_band),Dance Pop
Movetron,Movetron,Dance Pop
Samantha Mumba,Samantha_Mumba,Dance Pop
James Murphy,James_Murphy_(electronic_musician),Dance Pop
Róisín Murphy,Róisín_Murphy,Dance Pop
N-Trance,N-Trance,Dance Pop
Nabiha,Nabiha,Dance Pop
The Neptunes,The_Neptunes,Dance Pop
New Kids on the Block,New_Kids_on_the_Block,Dance Pop
Olivia Newton-John,Olivia_Newton-John,Dance Pop
Ne-Yo,Ne-Yo,Dance Pop
Nikkole,Nikkole,Dance Pop
NRG,NRG_(South_Korean_band),Dance Pop
NSYNC,NSYNC,Dance Pop
OFF,Sven_Väth,Dance Pop
Emily Osment,Emily_Osment,Dance Pop
Donny Osmond,Donny_Osmond,Dance Pop
Kevin Paige,Kevin_Paige,Dance Pop
Paradiso Girls,Paradiso_Girls,Dance Pop
Sarina Paris,Sarina_Paris,Dance Pop
Pebbles,"Perri_""Pebbles""_Reid",Dance Pop
Katy Perry,Katy_Perry,Dance Pop
Paul Pesco,Paul_Pesco,Dance Pop
Pet Shop Boys,Pet_Shop_Boys,Dance Pop
Pink,Pink_(singer),Dance Pop
Pizzicato Five,Pizzicato_Five,Dance Pop
Play,Play_(Swedish_group),Dance Pop
Pnau,Pnau,Dance Pop
Gabry Ponte,Gabry_Ponte,Dance Pop
Prima J,Prima_J,Dance Pop
Prince,Prince_(musician),Dance Pop
Private,Private_(band),Dance Pop
The Pussycat Dolls,The_Pussycat_Dolls,Dance Pop
Cara Quici,Cara_Quici,Dance Pop
Raze,Raze_(Christian_pop_group),Dance Pop
Richard X,Richard_X,Dance Pop
Ricki-Lee,Ricki-Lee_Coulter,Dance Pop
Right Said Fred,Right_Said_Fred,Dance Pop
Rihanna,Rihanna,Dance Pop
Robyn,Robyn,Dance Pop
Rockell,Rockell,Dance Pop
Kelly Rowland,Kelly_Rowland,Dance Pop
S Club 7,S_Club_7,Dance Pop
Marta Sánchez,Marta_Sánchez,Dance Pop
Santigold,Santigold,Dance Pop
The Saturdays,The_Saturdays,Dance Pop
Seiko Matsuda,Seiko_Matsuda,Dance Pop
Selena Gomez & the Scene,Selena_Gomez_&_the_Scene,Dance Pop
September,Petra_Marklund,Dance Pop
Shakira,Shakira,Dance Pop
Shinee,Shinee,Dance Pop
Shura,Shura_(English_singer),Dance Pop
Sia,Sia_Furler,Dance Pop
Jessica Simpson,Jessica_Simpson,Dance Pop
Troye Sivan,Troye_Sivan,Dance Pop
Sam Smith,Sam_Smith_(singer),Dance Pop
Solid HarmoniE,Solid_HarmoniE,Dance Pop
Tommy Sparks,Tommy_Sparks,Dance Pop
Britney Spears,Britney_Spears,Dance Pop
Speed,Speed_(Japanese_band),Dance Pop
Spice Girls,Spice_Girls,Dance Pop
Stacey Q,Stacey_Q,Dance Pop
Stakka Bo,Bo_Johan_Renck,Dance Pop
Alexandra Stan,Alexandra_Stan,Dance Pop
Lisa Stansfield,Lisa_Stansfield,Dance Pop
Brenda K. Starr,Brenda_K._Starr,Dance Pop
Gwen Stefani,Gwen_Stefani,Dance Pop
Steps,Steps_(group),Dance Pop
Stevie B,Stevie_B,Dance Pop
Stock Aitken Waterman,Stock_Aitken_Waterman,Dance Pop
Sugababes,Sugababes,Dance Pop
Linda Sundblad,Linda_Sundblad,Dance Pop
Swedish House Mafia,Swedish_House_Mafia,Dance Pop
Taylor Swift,Taylor_Swift,Dance Pop
Sylvan Esso,Sylvan_Esso,Dance Pop
T-ara,T-ara,Dance Pop
T-Spoon,T-Spoon,Dance Pop
Take That,Take_That,Dance Pop
Tarkan,Tarkan_(singer),Dance Pop
t.A.T.u.,t.A.T.u.,Dance Pop
Tegan and Sara,Tegan_and_Sara,Dance Pop
Therese,Therese_Grankvist,Dance Pop
Tiësto,Tiësto,Dance Pop
Tiffany,Tiffany_Darwish,Dance Pop
Timbaland,Timbaland,Dance Pop
Justin Timberlake,Justin_Timberlake,Dance Pop
The Ting Tings,The_Ting_Tings,Dance Pop
Katy Tiz,Katy_Tiz,Dance Pop
Melissa Tkautz,Melissa_Tkautz,Dance Pop
TLC,TLC_(group),Dance Pop
Judy Torres,Judy_Torres,Dance Pop
Totally Enormous Extinct Dinosaurs,Totally_Enormous_Extinct_Dinosaurs,Dance Pop
Jolin Tsai,Jolin_Tsai,Dance Pop
Usher,Usher_(singer),Dance Pop
Vassy,Vassy_(singer),Dance Pop
Vengaboys,Vengaboys,Dance Pop
V*Enna,V*Enna,Dance Pop
The Very Best,The_Very_Best,Dance Pop
Vitamin C,Vitamin_C_(singer),Dance Pop
Wallpaper,Wallpaper_(band),Dance Pop
Jessie Ware,Jessie_Ware,Dance Pop
Pete Waterman,Pete_Waterman,Dance Pop
Jody Watley,Jody_Watley,Dance Pop
Wham!,Wham!,Dance Pop
Karyn White,Karyn_White,Dance Pop
Wild Orchid,Wild_Orchid_(band),Dance Pop
Will to Power,Will_to_Power_(band),Dance Pop
Vanessa L. Williams,Vanessa_L._Williams,Dance Pop
Kimberly Wyatt,Kimberly_Wyatt,Dance Pop
XLR8,XLR8,Dance Pop
Xuxa,Xuxa,Dance Pop
Yazz,Yazz,Dance Pop
Yelle,Yelle,Dance Pop
Yuri,Yuri_(Mexican_singer),Dance Pop
ZOEgirl,ZOEgirl,Dance Pop
